FIPS,stabb,state,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019
1001,AL,"Autauga County, AL",26172,25458,714,3,58233,113
1003,AL,"Baldwin County, AL",97328,94675,2653,3,59871,116
1005,AL,"Barbour County, AL",8537,8213,324,4,35972,70
1007,AL,"Bibb County, AL",8685,8419,266,3,47918,93
1009,AL,"Blount County, AL",25331,24655,676,3,52902,102
1011,AL,"Bullock County, AL",4818,4643,175,4,31906,62
1013,AL,"Butler County, AL",9263,8925,338,4,39944,77
1015,AL,"Calhoun County, AL",46209,44574,1635,3,47747,92
1017,AL,"Chambers County, AL",15748,15286,462,3,42015,81
1019,AL,"Cherokee County, AL",11604,11266,338,3,45982,89
1021,AL,"Chilton County, AL",19818,19280,538,5,49692,96
1023,AL,"Choctaw County, AL",4670,4452,218,6,39808,77
1025,AL,"Clarke County, AL",7557,7121,436,3,43822,85
1027,AL,"Clay County, AL",6101,5918,183,3,40562,78
1029,AL,"Cleburne County, AL",5806,5623,183,3,51276,99
1031,AL,"Coffee County, AL",21402,20779,623,4,57299,111
1033,AL,"Colbert County, AL",23646,22761,885,4,46683,90
1035,AL,"Conecuh County, AL",4533,4353,180,3,41539,80
1037,AL,"Coosa County, AL",4549,4414,135,3,42024,81
1039,AL,"Covington County, AL",15653,15119,534,3,44836,87
1041,AL,"Crenshaw County, AL",6476,6293,183,3,43309,84
1043,AL,"Cullman County, AL",38646,37648,998,3,50897,98
1045,AL,"Dale County, AL",20724,20082,642,6,45120,87
1047,AL,"Dallas County, AL",14711,13904,807,3,34034,66
1049,AL,"DeKalb County, AL",31052,30182,870,3,44277,86
1051,AL,"Elmore County, AL",37565,36586,979,4,62310,120
1053,AL,"Escambia County, AL",14762,14248,514,3,42712,83
1055,AL,"Etowah County, AL",42723,41295,1428,3,43047,83
1057,AL,"Fayette County, AL",6579,6372,207,3,44212,85
1059,AL,"Franklin County, AL",14696,14291,405,3,44874,87
1061,AL,"Geneva County, AL",11045,10725,320,6,43089,83
