FIPS,StAbb,state,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Median_Household_Income_2019
01000,AL,Alabama,2241747,2174483,67264,3,51771
02000,AK,Alaska,347779,326430,21349,3,77203
04000,AZ,Arizona,3551260,3384504,166756,10,62027
05000,AR,Arkansas,1362642,1314290,48352,3,49020
06000,CA,California,19411572,18627378,784194,3,80423
08000,CO,Colorado,3148766,3062098,86668,3,77104
09000,CT,Connecticut,1913530,1842164,71366,4,78920
10000,DE,Delaware,487263,468844,18419,4,70348
11000,DC,District of Columbia,409969,387482,22487,6,90395
12000,FL,Florida,10336749,10016060,320689,3,59198
13000,GA,Georgia,5110318,4935310,175008,4,61950
15000,HI,Hawaii,664992,646973,18019,3,83734
16000,ID,Idaho,881891,856245,25646,3,60830
17000,IL,Illinois,6446610,6190757,255853,3,69212
18000,IN,Indiana,3387366,3275056,112310,3,57617
19000,IA,Iowa,1738824,1691016,47808,2,61807
20000,KS,Kansas,1486620,1439563,47057,4,62028
21000,KY,Kentucky,2072586,1983577,89009,5,52256
22000,LA,Louisiana,2095452,1994285,101167,5,51108
23000,ME,Maine,692739,671759,20980,3,58824
24000,MD,Maryland,3260667,3143967,116700,5,86644
25000,MA,Massachusetts,3817437,3706556,110881,4,85700
26000,MI,Michigan,4937266,4735826,201440,6,59522
27000,MN,Minnesota,3109648,3009156,100492,6,74529
28000,MS,Mississippi,1276118,1206892,69226,7,45928
29000,MO,Missouri,3083245,2981688,101557,4,57375
30000,MT,Montana,533497,514917,18580,3,57248
31000,NE,Nebraska,1035240,1003680,31560,3,63290
32000,NV,Nevada,1542452,1482476,59976,4,63268
33000,NH,New Hampshire,773740,754054,19686,3,78571
34000,NJ,New Jersey,4493125,4333333,159792,5,85786
35000,NM,New Mexico,954596,908166,46430,4,52021
36000,NY,New York,9514378,9137551,376827,4,72038
37000,NC,North Carolina,5080444,4883875,196569,4,57388
38000,ND,North Dakota,403599,394024,9575,2,67402
39000,OH,Ohio,5802318,5563572,238746,7,58704
40000,OK,Oklahoma,1841209,1780551,60658,4,54447
41000,OR,Oregon,2104069,2025300,78769,5,66955
42000,PA,Pennsylvania,6491640,6207627,284013,3,63455
44000,RI,Rhode Island,555554,535768,19786,3,70383
45000,SC,South Carolina,2376069,2308362,67707,3,56360
46000,SD,South Dakota,463997,448713,15284,3,60414
47000,TN,Tennessee,3344849,3231501,113348,4,56047
48000,TX,Texas,14045312,13551791,493521,3,64044
49000,UT,Utah,1607688,1565782,41906,3,75705
50000,VT,Vermont,342226,334070,8156,2,63293
51000,VA,Virginia,4412246,4289132,123114,4,76471
53000,WA,Washington,3914154,3747713,166441,6,78674
54000,WV,West Virginia,796966,757852,39114,6,48659
55000,WI,Wisconsin,3105142,3001215,103927,5,64177
56000,WY,Wyoming,292258,281730,10528,3,66152
